"date","perpetual","future","basis","annual_basis","fear","Volatility"
2021-01-03,33408.5347222222,35870.3944444444,7.36895449827881,15.5472161379871,93,15.1569701409914
2021-01-04,31830.3055555556,34267.6942028986,7.65744658997652,16.2498139845432,94,26.1942164567996
2021-01-05,32197.0125,34560.8027777778,7.34164474973501,15.6707621851069,93,16.6915550046625
2021-01-06,34793.0930555556,37587.7263888889,8.03214973980909,17.2454979707666,95,15.6575135003815
2021-01-07,37999.125,40915.7027777778,7.67538141411882,16.5770071961738,91,14.2308106892158
2021-01-08,39737.7541666667,42677.3472222222,7.39748160710446,16.0719094440067,93,23.0448429844252
2021-01-09,40287.5444444444,43011.9144927536,6.76231347896128,14.7799067055142,93,11.9376650378771
2021-01-10,39597.4916666667,42290.0930555556,6.79992917620973,14.9516515019069,94,19.4759607610391
2021-01-11,34265.2527777778,36655.4819444444,6.97566477086319,15.4310160082731,90,36.4628192473284
2021-01-12,34843.0347222222,37312.2444444444,7.08666665205087,15.7721544390157,84,21.4648618441828
2021-01-13,34694.6333333333,37136.1724637681,7.03722419250658,15.7582014126681,78,15.4917608711737
2021-01-14,38506.7305555556,41124.0902777778,6.79714866585733,15.314563352086,83,12.8641382805124
2021-01-15,37439.7847222222,39876.9375,6.50952668627718,14.7576226117464,88,15.921629352675
2021-01-16,36797.5958333333,39038.8916666667,6.090875728634,13.8948102559463,84,13.3023687762014
2021-01-17,35609.0013888889,37755.2695652174,6.02731919631481,13.8362987839931,79,13.9189686100265
2021-01-18,36049.7930555556,38306.7305555556,6.26061152839874,14.462805113073,79,13.1347312456779
2021-01-19,36804.9847222222,39494.425,7.30727182221579,16.9882434083361,80,10.4085209340834
2021-01-20,35111.6944444444,37169.1486111111,5.85974046317267,13.7102901862694,78,13.571299570229
2021-01-21,32897.6430555556,34620.3086956522,5.23644091215739,12.3309737608868,75,19.286500147377
2021-01-22,31846.0833333333,33374.7625,4.80021091028985,11.3771232614013,40,15.7741444972795
2021-01-23,32332.8930555556,33999.0847222222,5.15324027393328,12.293677777684,74,9.38613921135388
2021-01-24,32224.5736111111,33963.1013888889,5.39503733628405,12.9551883404189,70,10.2259986564894
2021-01-25,33369.2430555556,35355.0855072464,5.95111626711054,14.3851485926844,74,14.1206567498696
2021-01-26,31963.8722222222,33497.5305555556,4.7980993124703,11.6753749936777,71,14.2838333751059
2021-01-27,31041.8222222222,32199.5625,3.72961441982931,9.13630378011878,78,18.5483717260742
2021-01-28,31798.5583333333,33031.5916666667,3.87763910680437,9.5630964458351,55,8.3251872472563
2021-01-29,35048.9958333333,37040.1347826087,5.68101568085921,14.1059232892082,77,35.7537380102208
2021-01-30,34049.0402777778,35637.4222222222,4.6649830112278,11.6624575280695,76,11.3272799950899
2021-01-31,33386.0222222222,34891.4694444444,4.5092141022424,11.3507803263343,78,9.10342972821111
2021-02-01,33708.4805555556,35384.2777777778,4.97144099823874,12.6012219747024,77,10.8404070895396
2021-02-02,34709.7125,36766.3527777778,5.92525875222325,15.1239121997307,76,10.2083423069461
2021-02-03,36535.0388888889,39047.7072463768,6.87742078263417,17.6778773638132,78,8.08186526685732
2021-02-04,37462.0194444444,39963.0069444444,6.67606161410739,17.2820034691433,80,9.89590592971891
2021-02-05,37580.6013888889,40169.6902777778,6.88942910225588,17.9617258737385,81,7.65687161887558
2021-02-06,39759.6638888889,42589.5944444444,7.11759174691212,18.6900790476469,84,10.0793632343353
2021-02-07,38639.8388888889,41185.4753623188,6.58811358077885,17.4250830216252,86,10.3305241380324
2021-02-08,41220.6916666667,44157.5055555556,7.1246108935716,18.9816275631652,83,24.0667196407492
2021-02-09,46635.7833333333,50061.4736111111,7.34562611137538,19.7143641959707,95,13.5289984541147
2021-02-10,45704.2083333333,49059.8180555556,7.34201476097966,19.850632501908,92,11.1490021187699
2021-02-11,46238.2972222222,49650.8608695652,7.38038347507076,20.1032833462748,93,13.4174034704595
2021-02-12,47520.3069444444,51025.0319444444,7.37521540864065,20.2402528131867,92,11.0050153395878
2021-02-13,47197.8986111111,50819.8944444444,7.67406164239832,21.2199431778438,92,6.01677717441156
2021-02-14,48542.3555555556,52436.8513888889,8.02288184980265,22.3538311082288,95,9.49613917082089
2021-02-15,47798.5541666667,51398.415942029,7.53131938428539,21.1456275020321,93,11.4054262487541
2021-02-16,48837.7666666667,52806.6916666667,8.12675368038261,22.9943030491446,95,10.5547509077722
2021-02-17,50921.3569444444,55316.3972222222,8.63103526988253,24.6119365117744,95,8.14788181435632
2021-02-18,51880.6083333333,56360.9444444444,8.63585885948931,24.8195943599496,91,5.37169960028368
2021-02-19,53097.1444444444,57582.1362318841,8.44676645866005,24.4688075984994,93,8.54734507888912
2021-02-20,56191.1666666667,60621.3777777778,7.88417712946184,23.0217972180286,91,12.3604797268458
2021-02-21,56994.8430555556,61370.4861111111,7.67726134676853,22.5983902546009,91,7.10194016131206
2021-02-22,54570.7375,58484.3875,7.17170076728393,21.2818762606393,94,19.4465887481568
2021-02-23,48852.0138888889,52374.8811594203,7.21130407959016,21.5748031889378,94,29.457313771301
2021-02-24,49795.1111111111,52975.5625,6.38707559421273,19.2667982800632,76,16.1522780345389
2021-02-25,49933.2375,52789.6263888889,5.72041596319262,17.3995985547109,79,15.3123962899449
2021-02-26,46591.6375,48886.5347222222,4.92555605546644,15.1077979852542,55,17.2031423491587
2021-02-27,47132.9833333333,49253.8694444444,4.49979178298943,13.9188474643317,56,10.7810773204315
2021-02-28,44735.9263888889,46599.9,4.1666145346083,12.9984128643763,55,13.704206235112
2021-03-01,47568.475,49820.5583333333,4.73440305440386,14.8970440935983,38,9.12266297454418
2021-03-02,48541.2402777778,50882.7722222222,4.82379916756351,15.3103190970494,78,9.46129300385796
2021-03-03,50403.3069444444,53113.8166666667,5.37764263207929,17.2178908834118,78,11.3725737275072
2021-03-04,49321.4125,51690.8246376812,4.80402327828944,15.5174203236783,84,15.329882295473
2021-03-05,47713.8597222222,49806.8972222222,4.38664470278683,14.2957617546178,77,11.0876360651037
2021-03-06,48350.7430555556,50559.9069444444,4.5690381352579,15.0243145889111,77,7.68372134164026
2021-03-07,50224.6375,52717.3555555556,4.963137972983,16.46859418308,76,8.42246382704468
2021-03-08,50788.1986111111,53377.5347826087,5.09830283866596,17.0722984964502,81,9.49871903139524
2021-03-09,53952.9708333333,56974.3416666667,5.60000827881505,18.9259539052546,81,9.19302142472482
2021-03-10,55357.1569444444,58680.2361111111,6.00298019278998,20.477455797835,68,11.6492208973269
2021-03-11,56267.2194444444,59809.9347222222,6.29623306919525,21.6804251910969,73,9.94177454255183
2021-03-12,56840.3402777778,60470.3869565217,6.38639153285146,22.2003134237217,70,9.16740442914685
2021-03-13,58837.1888888889,63294.5611111111,7.57577359897284,26.5880515733182,74,10.4614833870031
2021-03-14,60415.6944444444,65627.6388888889,8.62680548882396,30.5707184798131,78,6.73175175691708
2021-03-15,57405.6319444444,61349.5916666667,6.8703358688553,24.5850254130606,76,13.8141504233335
2021-03-16,55340.7041666667,58667.8376811594,6.01209103605295,21.7268636451419,71,9.77431219897066
2021-03-17,56117.6875,59539.4652777778,6.09750317629853,22.2558865934896,71,12.6331219608652
2021-03-18,58436.675,62132.4069444444,6.324336462409,23.3169980684776,72,10.6553306464956
2021-03-19,58292.9055555556,62024.5944444444,6.40161757820159,23.8427593473835,71,6.05297378661363
2021-03-20,58752.1388888889,63025.5304347826,7.27359314352025,27.3697061586071,75,5.69345495701554
2021-03-21,57192.3527777778,60908.8194444444,6.49818810760782,24.7066527008006,73,8.75523656823869
2021-03-22,56683.5861111111,60259.5875,6.3087070424218,24.2387165314101,70,11.0718393647293
2021-03-23,54662.3944444444,57676.9555555556,5.51487204640282,21.414130818479,66,9.80868955919984
2021-03-24,55107.925,58335.4333333333,5.85670451814932,22.9859908508011,65,13.6613078192119
2021-03-25,52066.7111111111,54579.6449275362,4.82637324847058,19.1481112575191,60,11.3908743653899
2021-03-26,53227.7833333333,55876.6930555556,4.97655464183754,19.9609059809967,54,6.82777462779066
2021-03-27,55181.1847222222,57938.4208333333,4.99669611116691,20.2643786730658,65,7.96338281758331
