"Time","Contracts","Funding Interval","Funding Rate"
"2021-10-09 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-09 09:00:00","BTCUSD Perpetual","8h","0.0175%"
"2021-10-09 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-08 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-08 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-08 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-07 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-07 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-07 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-06 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-06 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-06 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-05 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-05 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-05 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-04 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-04 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-04 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-03 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-03 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-03 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-02 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-02 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-02 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-01 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-01 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-01 01:00:00","BTCUSD Perpetual","8h","0.0094%"
"2021-09-30 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-30 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-30 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-29 17:00:00","BTCUSD Perpetual","8h","-0.0123%"
"2021-09-29 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-29 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-28 17:00:00","BTCUSD Perpetual","8h","0.0035%"
"2021-09-28 09:00:00","BTCUSD Perpetual","8h","0.0089%"
"2021-09-28 01:00:00","BTCUSD Perpetual","8h","0.0087%"
"2021-09-27 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-27 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-27 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-26 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-26 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-26 01:00:00","BTCUSD Perpetual","8h","0.0053%"
"2021-09-25 17:00:00","BTCUSD Perpetual","8h","0.0004%"
"2021-09-25 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-25 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-24 17:00:00","BTCUSD Perpetual","8h","-0.0010%"
"2021-09-24 09:00:00","BTCUSD Perpetual","8h","-0.0064%"
"2021-09-24 01:00:00","BTCUSD Perpetual","8h","0.0095%"
"2021-09-23 17:00:00","BTCUSD Perpetual","8h","-0.0028%"
"2021-09-23 09:00:00","BTCUSD Perpetual","8h","0.0039%"
"2021-09-23 01:00:00","BTCUSD Perpetual","8h","0.0025%"
"2021-09-22 17:00:00","BTCUSD Perpetual","8h","-0.0164%"
"2021-09-22 09:00:00","BTCUSD Perpetual","8h","-0.0124%"
"2021-09-22 01:00:00","BTCUSD Perpetual","8h","-0.0097%"
"2021-09-21 17:00:00","BTCUSD Perpetual","8h","-0.0017%"
"2021-09-21 09:00:00","BTCUSD Perpetual","8h","0.0059%"
"2021-09-21 01:00:00","BTCUSD Perpetual","8h","-0.0106%"
"2021-09-20 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-20 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-20 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-19 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-19 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-19 01:00:00","BTCUSD Perpetual","8h","0.0043%"
"2021-09-18 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-18 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-18 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-17 17:00:00","BTCUSD Perpetual","8h","0.0035%"
"2021-09-17 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-17 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-16 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-16 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-16 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-15 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-15 09:00:00","BTCUSD Perpetual","8h","-0.0051%"
"2021-09-15 01:00:00","BTCUSD Perpetual","8h","0.0055%"
"2021-09-14 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-14 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-14 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-13 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-13 09:00:00","BTCUSD Perpetual","8h","0.0093%"
"2021-09-13 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-12 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-12 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-12 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-11 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-11 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-11 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-10 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-10 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-10 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-09 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-09 09:00:00","BTCUSD Perpetual","8h","-0.0077%"
"2021-09-09 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-08 17:00:00","BTCUSD Perpetual","8h","0.0018%"
"2021-09-08 09:00:00","BTCUSD Perpetual","8h","0.0050%"
"2021-09-08 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-07 17:00:00","BTCUSD Perpetual","8h","0.0033%"
"2021-09-07 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-07 01:00:00","BTCUSD Perpetual","8h","0.0241%"
"2021-09-06 17:00:00","BTCUSD Perpetual","8h","0.0266%"
"2021-09-06 09:00:00","BTCUSD Perpetual","8h","0.0154%"
"2021-09-06 01:00:00","BTCUSD Perpetual","8h","0.0109%"
"2021-09-05 17:00:00","BTCUSD Perpetual","8h","0.0444%"
"2021-09-05 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-05 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-04 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-04 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-04 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-03 17:00:00","BTCUSD Perpetual","8h","0.0214%"
"2021-09-03 09:00:00","BTCUSD Perpetual","8h","0.0241%"
"2021-09-03 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-02 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-02 09:00:00","BTCUSD Perpetual","8h","0.0244%"
"2021-09-02 01:00:00","BTCUSD Perpetual","8h","0.0217%"
"2021-09-01 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-01 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-09-01 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-31 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-31 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-31 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-30 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-30 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-30 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-29 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-29 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-29 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-28 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-28 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-28 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-27 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-27 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-27 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-26 17:00:00","BTCUSD Perpetual","8h","0.0093%"
"2021-08-26 09:00:00","BTCUSD Perpetual","8h","0.0089%"
"2021-08-26 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-25 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-25 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-25 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-24 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-24 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-24 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-23 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-23 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-23 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-22 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-22 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-22 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-21 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-21 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-21 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-20 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-20 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-20 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-19 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-19 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-19 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-18 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-18 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-18 01:00:00","BTCUSD Perpetual","8h","0.0062%"
"2021-08-17 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-17 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-17 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-16 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-16 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-16 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-15 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-15 09:00:00","BTCUSD Perpetual","8h","0.0005%"
"2021-08-15 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-14 17:00:00","BTCUSD Perpetual","8h","0.0077%"
"2021-08-14 09:00:00","BTCUSD Perpetual","8h","-0.0145%"
"2021-08-14 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-13 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-13 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-13 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-12 17:00:00","BTCUSD Perpetual","8h","0.0050%"
"2021-08-12 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-12 01:00:00","BTCUSD Perpetual","8h","-0.0081%"
"2021-08-11 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-11 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-11 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-10 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-10 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-10 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-09 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-09 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-09 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-08 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-08 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-08 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-07 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-07 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-07 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-06 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-06 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-06 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-05 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-05 09:00:00","BTCUSD Perpetual","8h","0.0026%"
"2021-08-05 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-04 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-04 09:00:00","BTCUSD Perpetual","8h","0.0038%"
"2021-08-04 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-03 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-03 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-08-03 01:00:00","BTCUSD Perpetual","8h","0.0012%"
"2021-08-02 17:00:00","BTCUSD Perpetual","8h","0.0099%"
"2021-08-02 09:00:00","BTCUSD Perpetual","8h","-0.0039%"
