,date,perpetual,future,basis,annual_basis,fear,Volatility,Unnamed: 0,Date,fundingRate,accumulation_funding_rate
17,2020-09-30,10768.5666666667,10999.4333333333,2.14389411156545,4.42102458034684,49,2.93190570600572,51,2020-09-30,0.0003,0.1701386799999979
18,2020-10-01,10612.6,10834.1666666667,2.08776988359748,4.32975004268795,45,7.82272461957395,52,2020-10-01,0.0003,0.16983867999999788
19,2020-10-02,10565.0333333333,10791.7666666667,2.14607305230146,4.47609522337162,41,5.54998540822571,53,2020-10-02,0.0003,0.1695386799999979
20,2020-10-03,10547.5,10768.6,2.09623133443944,4.39726687971493,40,1.6051950768623,54,2020-10-03,0.00011958,0.1692386799999979
21,2020-10-04,10663.0,10915.2333333333,2.36550064084529,4.9907961497603,42,2.086545733549,55,2020-10-04,0.0003,0.16911909999999789
22,2020-10-05,10775.0,11012.0,2.19953596287703,4.6676199212216,42,2.39377571287433,56,2020-10-05,-0.00017431,0.1688190999999979
23,2020-10-06,10597.0,10831.5666666667,2.21351954955806,4.72476395081106,47,3.8253553405167,57,2020-10-06,0.0003,0.1689934099999979
24,2020-10-07,10662.7333333333,10886.1333333333,2.09514758567221,4.49840511041387,43,1.63933803248778,58,2020-10-07,0.0003,0.1686934099999979
25,2020-10-08,10913.4,11182.8333333333,2.46883036756038,5.33208925538188,46,5.72623220248365,59,2020-10-08,0.0003,0.16839340999999788
26,2020-10-09,11065.0333333333,11335.4666666667,2.44403541486546,5.30995789539221,48,3.85957813444533,60,2020-10-09,0.0003,0.1680934099999979
27,2020-10-10,11302.7666666667,11592.3,2.56161470790337,5.59873873284269,53,8.06432193819498,61,2020-10-10,0.0003,0.1677934099999979
28,2020-10-11,11370.3333333333,11669.3666666667,2.62994342001114,5.78270691749437,55,3.33845567250677,62,2020-10-11,0.00037117,0.1674934099999979
29,2020-10-12,11554.6333333333,11941.2,3.34555546259943,7.40077420514419,52,7.30505833769562,63,2020-10-12,0.0003,0.1671222399999979
30,2020-10-13,11424.3333333333,11746.5333333333,2.82029585971463,6.27687798046245,56,3.60094137883587,64,2020-10-13,0.0003,0.1668222399999979
