,date,perpetual,future,basis,annual_basis,fear,Volatility,Unnamed: 0,Date,fundingRate,accumulation_funding_rate
35,2021-04-17,60256.2333333333,67056.0,11.2847522828897,25.7433411453421,76,7.00363395176994,250,2021-04-17,0.00142645,0.024057270000000117
36,2021-04-18,56251.7333333333,61579.8,9.47182664593449,21.7435014199125,79,26.8934869073704,251,2021-04-18,-0.0002592,0.022630820000000114
37,2021-04-19,55795.3666666667,61310.2333333333,9.88409431846493,22.8335090268335,74,10.4287567578266,252,2021-04-19,0.0003,0.02289002000000012
38,2021-04-20,56399.1,62039.4,10.0006915003963,23.2500152716219,73,11.9065814339856,253,2021-04-20,0.0003,0.022590020000000113
39,2021-04-21,53925.3666666667,59514.3333333333,10.3642627062959,24.2497172294744,73,8.96030420388855,254,2021-04-21,0.0003,0.022290020000000115
40,2021-04-22,51792.4333333333,56656.7666666667,9.39197682029486,22.1165905768234,65,13.1815176897908,255,2021-04-22,0.00057262,0.02199002000000011
41,2021-04-23,50904.8333333333,55291.4333333333,8.61725638364397,20.4240167534419,55,14.6569478518814,256,2021-04-23,0.00024263,0.021417400000000107
42,2021-04-24,50155.4666666667,54367.7333333333,8.39841984655711,20.0354460391722,37,8.66389906811476,257,2021-04-24,0.0003,0.021174770000000107
43,2021-04-25,48914.9666666667,52937.3666666667,8.22325000732561,19.7466200833806,31,12.7290652884174,258,2021-04-25,0.0003,0.02087477000000011
44,2021-04-26,53842.3333333333,58720.6,9.06028094374314,21.9006791024255,27,11.0753707727066,259,2021-04-26,0.00023505,0.020574770000000107
45,2021-04-27,54937.2333333333,59907.9333333333,9.04796200755163,22.016707551709,50,6.6749028353902,260,2021-04-27,0.00026776,0.020339720000000106
46,2021-04-28,54701.0333333333,59677.7666666667,9.09806091414483,22.2871961990796,59,7.22013841927946,261,2021-04-28,0.0003,0.020071960000000107
47,2021-04-29,53506.1,58324.2666666667,9.00489227707993,22.2080113590147,52,7.53433374334233,262,2021-04-29,0.0003,0.019771960000000106
