,date,long_change,long
3986,2019-12-03,64016.5241433084,12662626.548072299
3987,2019-12-04,68663.44105136581,12654950.520877281
3988,2019-12-05,73183.6923765894,12655203.33526512
3989,2019-12-06,78230.94488938153,12654344.723905858
3990,2019-12-07,81550.53496742621,12662164.527414428
3991,2019-12-08,84902.66315460764,12671089.79403224
3992,2019-12-09,87317.0886053741,12686598.50966943
3993,2019-12-10,89355.46560182795,12693078.322873559
3994,2019-12-11,91216.43739851005,12690100.415149802
3995,2019-12-12,93247.97844469175,12694755.591851281
3996,2019-12-13,94451.25507442467,12704320.590749681
3997,2019-12-14,95505.59807383455,12719585.83881404
3998,2019-12-15,96479.34000043571,12728315.00148355
3999,2019-12-16,97214.45165059902,12752766.94642371
4000,2019-12-17,97254.37438425608,12751555.180802979
4001,2019-12-18,97866.49588256702,12764516.925372738
4002,2019-12-19,98907.9709410537,12783630.54089284
4003,2019-12-20,98708.12079897895,12750066.264177289
4004,2019-12-21,98943.57431562617,12763360.105248181
4005,2019-12-22,101467.79536710866,12778862.571175661
4006,2019-12-23,104932.38248190098,12826921.17189372
4007,2019-12-24,108592.06496284343,12848633.79207784
4008,2019-12-25,112911.27188924327,12885615.28687455
4009,2019-12-26,117370.52164869383,12889758.140497722
4010,2019-12-27,122865.30402111448,12923939.309677713
4011,2019-12-28,128124.35859304853,12927734.23895859
4012,2019-12-29,133753.90182922594,12947519.05605851
4013,2019-12-30,139483.31094700284,12961129.60251608
4014,2019-12-31,144226.68701994792,12988176.69875031
4015,2020-01-01,145210.006418705,12997830.40310871
4016,2020-01-02,145787.2159963306,12993982.608605748
4017,2020-01-03,146850.04222803377,12995296.635390589
4018,2020-01-04,148311.79446468316,13013125.03709084
4019,2020-01-05,149790.0247828439,13027087.574604278
4020,2020-01-06,152192.77576956712,13046602.69692003
4021,2020-01-07,155110.63637578115,13086826.69235311
4022,2020-01-08,158586.4111510478,13115086.364220701
4023,2020-01-09,162227.4202906061,13113048.315984162
4024,2020-01-10,166151.61364954337,13116515.823332978
4025,2020-01-11,170107.87666954473,13124726.97866747
4026,2020-01-12,173618.9009796232,13136621.99233531
4027,2020-01-13,176782.38073031045,13140997.684070809
4028,2020-01-14,179138.29067811556,13101827.913054952
4029,2020-01-15,182205.59581475146,13174267.40040189
4030,2020-01-16,185486.33776689135,13170673.2755263
4031,2020-01-17,188303.2704002969,13174583.107711509
4032,2020-01-18,190558.31130041182,13179808.165017622
4033,2020-01-19,194600.9700213112,13181823.50011472
4034,2020-01-20,198821.8686393872,13219261.853576172
4035,2020-01-21,201613.81727752276,13221949.23263024
4036,2020-01-22,202719.45051425882,13222658.564094009
4037,2020-01-23,202974.4384382572,13216403.86770678
4038,2020-01-24,201964.42307858542,13212471.14135907
4039,2020-01-25,202768.40653255954,13329775.655632319
4040,2020-01-26,202685.93874896877,13340020.953930652
4041,2020-01-27,202705.9842601586,13347128.014496662
4042,2020-01-28,202170.0530850049,13350031.85477369
4043,2020-01-29,200757.35353598744,13322752.11633375
4044,2020-01-30,198714.2833867725,13322231.83134318
4045,2020-01-31,198317.61867297255,13320620.22376428
4046,2020-02-01,199055.9289354831,13369637.28488996
4047,2020-02-02,200280.00393723696,13409087.25000944
4048,2020-02-03,199966.27382883057,13352222.932411967
4049,2020-02-04,199168.08456933126,13351939.06973287
4050,2020-02-05,197878.07941819914,13353640.55735756
4051,2020-02-06,194646.84763121232,13308689.683455069
4052,2020-02-07,189263.65919754095,13220582.91275163
4053,2020-02-08,184083.53233822063,13222210.697535539
4054,2020-02-09,178727.19441738352,13221550.95626573
4055,2020-02-10,172898.52439448424,13204978.1641099
4056,2020-02-11,166843.77185525186,13205638.241566839
4057,2020-02-12,160890.98055052944,13205242.0510442
4058,2020-02-13,156227.39151373506,13195525.48241869
4059,2020-02-14,149457.72717652656,13189587.99414739
4060,2020-02-15,142766.04382522777,13188290.36917185
4061,2020-02-16,136317.28944022767,13197724.02695011
4062,2020-02-17,130065.50208372995,13200878.547752703
4063,2020-02-18,123306.61437959224,13208047.47380384
4064,2020-02-19,115378.83295021579,13199496.716141881
4065,2020-02-20,107152.32365378737,13171445.33629906
4066,2020-02-21,99745.87157174014,13174008.83137154
4067,2020-02-22,93100.40833243355,13185446.14897708
4068,2020-02-23,87475.74498897605,13201847.195236111
4069,2020-02-24,78059.1271138601,13204796.098260121
4070,2020-02-25,68785.03949777968,13199657.34121868
4071,2020-02-26,59316.24523988739,13198394.13456109
4072,2020-02-27,50051.35777637549,13196651.4056782
4073,2020-02-28,41778.70648017153,13188015.552379292
4074,2020-02-29,34190.30018841848,13200982.586430531
4075,2020-03-01,26944.192888898775,13208643.6064489
4076,2020-03-02,18314.727675413713,13227524.04836492
4077,2020-03-03,8204.779199371114,13216280.956065722
4078,2020-03-04,1905.5986426305026,13313369.99432867
4079,2020-03-05,-4303.86392428726,13304222.81084643
4080,2020-03-06,-10229.720836989582,13305127.003033081
4081,2020-03-07,-13911.455499233678,13309648.594822142
4082,2020-03-08,-14154.76322524622,13311480.997721892
4083,2020-03-09,-14647.241033803672,13301824.410573542
4084,2020-03-10,-15150.076829113066,13296415.941479832
4085,2020-03-11,-15051.817025635391,13291124.937761089
4086,2020-03-12,-15751.642089143395,13232664.9869877
4087,2020-03-13,-17042.196016641334,13192053.18236789
4088,2020-03-14,-18848.656425789,13180835.42723369
4089,2020-03-15,-19281.044297317043,13178965.31560143
