time,perpetual,future,high.x,low.x,close.x,volume.x,volCcy,date.x,X.y,open.y,high.y,low.y,close.y,volume.y,currency_volume,price,date.y,basis,value
2020-09-12 17:00:00,10726,10370.3,10378,10353.4,10376.7,2038.10794121,21119744.94805557,2020-09-12 17:00:00,5044,10548.8,10562.1,10530.8,10561.8,5376,53.76,10551.566666666668,2020-09-12 17:00:00,-3.316240909938474,-3.316240909938474
2020-09-12 18:00:00,10725,10376.7,10477.7,10376.7,10451.8,1172.53234544,12235097.46416358,2020-09-12 18:00:00,5043,10562.7,10668.2,10562.7,10650.3,17375,173.75,10627.066666666668,2020-09-12 18:00:00,-3.247552447552441,-3.247552447552441
2020-09-12 19:00:00,10724,10451.8,10466.6,10426.8,10460.1,945.95123754,9884063.53276002,2020-09-12 19:00:00,5042,10654.8,10666.4,10626.7,10663.6,7104,71.04,10652.233333333332,2020-09-12 19:00:00,-2.538232002983968,-2.538232002983968
2020-09-12 20:00:00,10723,10460.2,10470.7,10429.7,10438.7,874.87037465,9139780.51899956,2020-09-12 20:00:00,5041,10663.8,10673.9,10632.2,10642.4,7023,70.23,10649.5,2020-09-12 20:00:00,-2.4508066772358417,-2.4508066772358417
2020-09-12 21:00:00,10722,10438.7,10460,10419.7,10449.7,1129.83539669,11805493.37355007,2020-09-12 21:00:00,5040,10645.5,10673.8,10630.4,10659.4,7233,72.33,10654.533333333333,2020-09-12 21:00:00,-2.6422309270658393,-2.6422309270658393
2020-09-12 22:00:00,10721,10449.8,10455.2,10410,10435,2417.42737998,25216033.72655176,2020-09-12 22:00:00,5039,10662.7,10668.9,10619.7,10639.6,10501,105.01,10642.733333333332,2020-09-12 22:00:00,-2.529614774741169,-2.529614774741169
2020-09-12 23:00:00,10720,10435,10450,10412,10439.6,925.20826308,9648372.04453205,2020-09-12 23:00:00,5038,10640.3,10658.2,10613.6,10644.8,7376,73.76,10638.866666666667,2020-09-12 23:00:00,-2.658582089552239,-2.658582089552239
2020-09-13 00:00:00,10719,10439.6,10446.9,10413.4,10428.2,980.36088995,10219777.11442819,2020-09-13 00:00:00,5037,10646.3,10653.5,10614.8,10631.2,5206,52.06,10633.166666666666,2020-09-13 00:00:00,-2.606586435301797,-2.606586435301797
2020-09-13 01:00:00,10718,10428.3,10433.4,10397.2,10421.2,1532.8820238,15967838.86240907,2020-09-13 01:00:00,5036,10634,10638.4,10605,10629.9,4238,42.38,10624.433333333334,2020-09-13 01:00:00,-2.702929651054308,-2.702929651054308
2020-09-13 02:00:00,10717,10420.7,10445.9,10417.9,10427.3,1541.53596767,16083799.79147174,2020-09-13 02:00:00,5035,10626.9,10648.9,10626.6,10635.5,2388,23.88,10637,2020-09-13 02:00:00,-2.7647662592143254,-2.7647662592143254
2020-09-13 03:00:00,10716,10427.2,10557.8,10427.2,10554.7,2351.89128621,24687383.49846393,2020-09-13 03:00:00,5034,10635.4,10767.2,10634,10764.7,16438,164.38,10721.966666666667,2020-09-13 03:00:00,-2.695035460992901,-2.695035460992901
2020-09-13 04:00:00,10715,10555,10579.8,10525.3,10541.5,3217.45137582,33898130.03314628,2020-09-13 04:00:00,5033,10766.6,10798.8,10727.1,10752.6,15284,152.84,10759.5,2020-09-13 04:00:00,-1.4932337844143724,-1.4932337844143724
2020-09-13 05:00:00,10714,10541.5,10543.4,10521.7,10533.3,2292.19477513,24138199.87752657,2020-09-13 05:00:00,5032,10748.1,10757.8,10732.1,10744.4,4888,48.88,10744.766666666668,2020-09-13 05:00:00,-1.6100429344782528,-1.6100429344782528
2020-09-13 06:00:00,10713,10533.3,10545,10520.5,10524,1870.55016364,19704124.1791909,2020-09-13 06:00:00,5031,10745.4,10758.1,10729.6,10732.5,4223,42.23,10740.066666666668,2020-09-13 06:00:00,-1.6774012881545854,-1.6774012881545854
2020-09-13 07:00:00,10712,10524.3,10555.9,10519.8,10542.6,1336.69583832,14086608.12118334,2020-09-13 07:00:00,5030,10733.4,10761.5,10730.3,10750,3355,33.55,10747.266666666666,2020-09-13 07:00:00,-1.75224047796864,-1.75224047796864
2020-09-13 08:00:00,10711,10542.5,10557.5,10525.2,10539.7,2496.07773334,26311482.73223873,2020-09-13 08:00:00,5029,10749.9,10766,10732,10749.1,4764,47.64,10749.033333333333,2020-09-13 08:00:00,-1.5731490990570443,-1.5731490990570443
2020-09-13 09:00:00,10710,10539.7,10548.7,10472.1,10504.5,2142.17114192,22552897.72144219,2020-09-13 09:00:00,5028,10749.9,10761.3,10680.9,10714.5,8665,86.65,10718.9,2020-09-13 09:00:00,-1.5901027077497596,-1.5901027077497596
2020-09-13 10:00:00,10709,10504.6,10504.6,10438.1,10452.7,2601.31726664,27219835.52937781,2020-09-13 10:00:00,5027,10713.8,10713.8,10649.6,10664.7,14306,143.06,10676.033333333335,2020-09-13 10:00:00,-1.9086749463068413,-1.9086749463068413
2020-09-13 11:00:00,10708,10452.7,10472.8,10305.6,10326.7,2570.58668161,26739701.70009196,2020-09-13 11:00:00,5026,10664.6,10679.8,10511.7,10535.2,41342,413.42,10575.566666666668,2020-09-13 11:00:00,-2.3841987299215472,-2.3841987299215472
2020-09-13 12:00:00,10707,10325.4,10349.7,10284.5,10289.9,2055.71917984,21238225.2970433,2020-09-13 12:00:00,5025,10525,10562.6,10494.3,10494.3,15041,150.41,10517.066666666668,2020-09-13 12:00:00,-3.5640235360044863,-3.5640235360044863
2020-09-13 13:00:00,10706,10290.5,10340,10263.9,10322.1,1303.33673373,13439107.98769173,2020-09-13 13:00:00,5024,10490,10551.7,10470.8,10527,12350,123.5,10516.5,2020-09-13 13:00:00,-3.8810013076779377,-3.8810013076779377
2020-09-13 14:00:00,10705,10322.1,10340,10305,10325.7,1381.57377173,14256205.75719491,2020-09-13 14:00:00,5023,10527.9,10548.7,10511.8,10530.9,6544,65.44,10530.466666666667,2020-09-13 14:00:00,-3.5768332554880864,-3.5768332554880864
2020-09-13 15:00:00,10704,10324.8,10338.8,10271.4,10280.7,1289.87702869,13298758.41136453,2020-09-13 15:00:00,5022,10531.2,10544.6,10478.5,10484.2,9540,95.4,10502.433333333332,2020-09-13 15:00:00,-3.542600896860993,-3.542600896860993
2020-09-13 16:00:00,10703,10280.7,10296.4,10215,10257.6,4015.68093014,41198836.00292726,2020-09-13 16:00:00,5021,10481.8,10503.5,10411.2,10463.3,26168,261.68,10459.333333333334,2020-09-13 16:00:00,-3.945622722601133,-3.945622722601133
2020-09-13 17:00:00,10702,10257.6,10282.8,10211.8,10277.7,1148.49983341,11764048.80964847,2020-09-13 17:00:00,5020,10452.9,10485.9,10410,10482.6,20184,201.84,10459.5,2020-09-13 17:00:00,-4.152494860773684,-4.152494860773684
2020-09-13 18:00:00,10701,10277.5,10280.9,10242.6,10254.3,1008.19077515,10348023.86115186,2020-09-13 18:00:00,5019,10476.1,10485.6,10445.3,10455,4887,48.87,10461.966666666667,2020-09-13 18:00:00,-3.957574058499206,-3.957574058499206
2020-09-13 19:00:00,10700,10254.2,10319.9,10246,10307.7,1004.87909564,10339863.25562802,2020-09-13 19:00:00,5018,10454.1,10524.3,10450.4,10510.5,8011,80.11,10495.066666666666,2020-09-13 19:00:00,-4.1663551401869094,-4.1663551401869094
2020-09-13 20:00:00,10699,10307.5,10313.5,10285.3,10310.8,1662.72511191,17126170.17295263,2020-09-13 20:00:00,5017,10508.9,10514.7,10485.7,10508.2,6820,68.2,10502.866666666667,2020-09-13 20:00:00,-3.6592204878960652,-3.6592204878960652
2020-09-13 21:00:00,10698,10310.8,10319.4,10289.4,10297.3,1221.68494756,12592724.23496082,2020-09-13 21:00:00,5016,10508.7,10518.2,10481.6,10494.4,5216,52.16,10498.066666666668,2020-09-13 21:00:00,-3.619368106188079,-3.619368106188079
2020-09-13 22:00:00,10697,10298.5,10317.6,10291.7,10305.7,975.26655523,10049423.94045206,2020-09-13 22:00:00,5015,10495.1,10513.8,10489.2,10500.8,8815,88.15,10501.266666666666,2020-09-13 22:00:00,-3.7253435542675515,-3.7253435542675515
2020-09-13 23:00:00,10696,10305.6,10330,10297.8,10330,1204.58227199,12424018.32180065,2020-09-13 23:00:00,5014,10501.1,10533,10493.7,10533,9800,98,10519.9,2020-09-13 23:00:00,-3.6499626028421805,-3.6499626028421805
2020-09-14 00:00:00,10695,10329.9,10330,10242.8,10274.1,1460.83139564,15024198.01471051,2020-09-14 00:00:00,5013,10536.2,10536.2,10441.6,10471.4,12890,128.9,10483.066666666668,2020-09-14 00:00:00,-3.4137447405329624,-3.4137447405329624
2020-09-14 01:00:00,10694,10274.7,10324.9,10274.2,10323.8,2261.66936668,23283358.24713384,2020-09-14 01:00:00,5012,10473.6,10527.1,10473.6,10527.1,8671,86.71,10509.266666666668,2020-09-14 01:00:00,-3.920890218814282,-3.920890218814282
2020-09-14 02:00:00,10693,10323.8,10369.2,10323.8,10349.7,2124.68279255,21993072.08659836,2020-09-14 02:00:00,5011,10528.3,10573.3,10526.3,10546.7,12733,127.33,10548.766666666666,2020-09-14 02:00:00,-3.452726082483875,-3.452726082483875
2020-09-14 03:00:00,10692,10349.6,10362.2,10332.5,10348.2,2104.95714627,21783889.37067534,2020-09-14 03:00:00,5010,10547.3,10556.6,10523.4,10541.4,10946,109.46,10540.466666666667,2020-09-14 03:00:00,-3.202394313505421,-3.202394313505421
2020-09-14 04:00:00,10691,10348.2,10352.3,10315.9,10344,1800.94678817,18610024.06222826,2020-09-14 04:00:00,5009,10540.3,10544.7,10509.1,10530.4,7870,78.7,10528.066666666668,2020-09-14 04:00:00,-3.206435319427549,-3.206435319427549
