"","date","perpetual","future","basis","annual_basis"
"42",2020-10-24,13066.0666666667,13501,3.32872427815564,7.94107425834515
"43",2020-10-25,12998.9333333333,13441.8666666667,3.407459073565,8.18238527533702
"44",2020-10-26,13024.4333333333,13446.7333333333,3.2423675502197,7.83751096576284
"45",2020-10-27,13622.3,14110.7,3.58529763696291,8.72422424994307
"46",2020-10-28,13213.2666666667,13596.7,2.90188144238872,7.10863574813344
"47",2020-10-29,13389.9666666667,13788.3,2.9748642640385,7.33665848901387
"48",2020-10-30,13502.1333333333,13890,2.87263247289317,7.13272688847625
"49",2020-10-31,13687.9333333333,14103.7,3.03746852458855,7.59367131147138
"50",2020-11-01,13611.7,14020.6666666667,3.00452306961413,7.56310979592523
"51",2020-11-02,13408.0333333333,13819.5333333333,3.06905561591187,7.77920347088772
"52",2020-11-03,13867.5666666667,14313.4,3.21493556908566,8.20595442458928
"53",2020-11-04,14000.3,14461.9666666667,3.29754838586792,8.47609268198444
"54",2020-11-05,15541.1333333333,16061.6,3.3489621091555,8.66929907689191
"55",2020-11-06,15560.8,16034.2,3.0422600380443,7.93160652775836
"56",2020-11-07,14834.2,15398.3333333333,3.80292387411071,9.98609506511086
"57",2020-11-08,15456.6666666667,15933.5666666667,3.08540004313133,8.1606595343691
"58",2020-11-09,15268.4666666667,15706.4333333333,2.86843909233409,7.64219174234996
"59",2020-11-10,15221.7666666667,15682.2666666667,3.02527301911957,8.11929891160768
"60",2020-11-11,15617.7,16092.8666666667,3.042488117115,8.22598639071834
"61",2020-11-12,16190.4,16647.7666666667,2.82492505847086,7.69475855479004
"62",2020-11-13,16194.8,16657.5333333333,2.85729575748593,7.8414507630253
"63",2020-11-14,15959.9,16337.6333333333,2.36676503821035,6.54446393141498
"64",2020-11-15,15827.3666666667,16247.3,2.65321036769646,7.39253270388709
"65",2020-11-16,16639.8333333333,17056.5333333333,2.50423181321929,7.03111239865415
"66",2020-11-17,17554.3,18000.7333333333,2.54315656752667,7.19575307866073
"67",2020-11-18,17602.4,18067.7333333333,2.64357890590676,7.53833047387475
"68",2020-11-19,17742.4666666667,18106.4333333333,2.05138706756293,5.89571873748401
"69",2020-11-20,18607.1333333333,19019.8,2.21778744352523,6.42454299116436
"70",2020-11-21,18566.3,19044.5,2.57563434825464,7.52085229690354
"71",2020-11-22,18450.0666666667,18885.5666666667,2.36042507524815,6.94802542310947
"72",2020-11-23,18322,18820.3333333333,2.71986318815271,8.07113872907105
"73",2020-11-24,19127.7666666667,19732.1666666667,3.1598043333165,9.4535129644305
"74",2020-11-25,18632.0666666667,19170.3,2.88874735670761,8.71398996031635
"75",2020-11-26,17082.3666666667,17547.5333333333,2.72308091579817,8.28270445221943
"76",2020-11-27,17087.2,17585.1666666667,2.91426720976326,8.9387187526352
"77",2020-11-28,17726.4666666667,18186.0333333333,2.59254523368075,8.01931364655485
"78",2020-11-29,18176.7666666667,18659.0333333333,2.65320381512666,8.27708882496777
"79",2020-11-30,19633.1,20274.4,3.2664225211505,10.2779674156891
"80",2020-12-01,18809.4333333333,19369.6333333333,2.97829280697806,9.45284238736516
"81",2020-12-02,19188.9333333333,19755.7333333333,2.95378586268474,9.45729684105201
"82",2020-12-03,19459.3,20002.2,2.78992563966844,9.01170671220338
"83",2020-12-04,18697.9,19171.5666666667,2.53326131098502,8.25571766526368
"84",2020-12-05,19114.9666666667,19651.3666666667,2.80617805593874,9.22752243619496
"85",2020-12-06,19305.0666666667,19888.2333333333,3.02079592231399,10.0235501058601
"86",2020-12-07,19156.2666666667,19729.5666666667,2.99275432930564,10.0216085339134
"87",2020-12-08,18314.1,18828.1,2.80658072195738,9.48520336587447
"88",2020-12-09,18563.7,19060.6,2.67672931581526,9.13089906796795
"89",2020-12-10,18287.7,18751.9333333333,2.53850037639142,8.74106261681951
"90",2020-12-11,18064.9333333333,18485.4666666667,2.32789861757952,8.09221900396691
"91",2020-12-12,18820.1333333333,19330.7666666667,2.71322909508256,9.52239057408783
"92",2020-12-13,19170.1333333333,19834.3333333333,3.4647646338749,12.2780494307217
"93",2020-12-14,19288.6666666667,19983,3.59969584903051,12.8812645578053
"94",2020-12-15,19411.5,20092.3666666667,3.50754277962379,12.6757734115117
"95",2020-12-16,21364.6333333333,22337.3,4.55269534230245,16.617337999404
"96",2020-12-17,22793.3333333333,23892.1333333333,4.82070780930098,17.7733166706551
"97",2020-12-18,23056.0666666667,24218.5666666667,5.04205689897959,18.7790894706893
"98",2020-12-19,23824.8666666667,25072.8666666667,5.23822448813984,19.7108447234128
"99",2020-12-20,23505.4666666667,24681.1,5.00153155861617,19.0162397801552
"100",2020-12-21,22880.7,23779.1333333333,3.92659898225723,15.0864066160409
"101",2020-12-22,23766.3333333333,24802.7666666667,4.3609307283412,16.9334012323887
"102",2020-12-23,23283.4666666667,24182.3666666667,3.86067939482095,15.1521288076306
"103",2020-12-24,23719.9666666667,24720.4,4.217684398095,16.7332044054856
"104",2020-12-25,24672,25771.6333333333,4.4570092952875,17.877015305274
"105",2020-12-26,26504.9333333333,27756.5,4.72201401500098,19.1503901719484
